label,message
ham,I'll call you in a bit.
spam,FREE gift waiting for you! Claim it today!
spam,WIN NOW! Receive your free gift!
spam,FREE reward waiting! Act immediately!
spam,Congratulations! You have earned a special bonus!
spam,FREE gift offer! Don't miss out!
spam,Act immediately to receive your FREE reward!
spam,Your FREE reward expires soon! Act now!
ham,Did you submit the assignment?
spam,You have won an amazing FREE gift!
spam,Limited time! Claim your prize before it disappears!
spam,You are today's lucky winner! Claim now!
spam,WIN BIG and claim your reward now!
ham,Are you going to the study session?
ham,Are you still working on the project?
ham,I'm heading home now.
ham,Can you explain the last question?
ham,Thanks for helping me yesterday.
ham,Are we still doing the presentation tomorrow?
spam,Act fast! Your prize expires today!
spam,You have been chosen for an exclusive reward!
ham,I'll meet you at the usual place.
ham,Thanks for sending the notes.
ham,Can you help me review this?
spam,You won a FREE vacation package!
ham,What time are you getting home?
ham,Can we talk about this tomorrow?
ham,Did you understand today's lesson?
ham,Did you print the documents?
spam,URGENT! Your reward is waiting for you!
spam,You have won! Claim your cash bonus now!
spam,Congratulations! A cash prize is waiting for you!
ham,I'll see you at school tomorrow.
spam,Your FREE bonus is about to expire!
spam,Act now to claim your $750 cash reward!
ham,Can we meet before class?
ham,Are you going to school today?
spam,FREE cash prize! Don't miss your chance!
ham,Can you send me the project file?
ham,Can you send me the class schedule?
ham,I'll study after dinner.
ham,I'll send you the details later.
spam,Claim your FREE bonus before midnight!
ham,Please remind me about the meeting.
ham,Are you coming to the meeting?
ham,Can you send me the assignment?
spam,Congratulations! Your $1000 prize is available!
spam,Congratulations! You are a lucky winner!
ham,Can you call me after class?
ham,I'll bring everything we need.
ham,Are you available tomorrow afternoon?
ham,What time is the exam?
ham,Are we studying together today?
ham,Can you check the project?
spam,You won! Receive your FREE reward today!
spam,Congratulations! Your exclusive reward has arrived!
ham,I'll message you later.
spam,Exclusive cash prize! Claim immediately!
ham,Can you check my answer?
spam,WINNER notification: claim your FREE prize!
ham,Did everyone finish their work?
spam,Claim your $1000 bonus now!
ham,I'll message you when I arrive.
ham,Can you send me the notes from class?
ham,I'll be at the library after class.
spam,Congratulations! You have won a special bonus!
spam,You have won a FREE bonus today!
ham,What chapter are we studying?
spam,You are the lucky winner! Claim your prize now!
spam,Act now to claim your cash reward!
spam,Exclusive reward available for a limited time!
ham,I'll be there in a few minutes.
spam,Congratulations! You won a limited-time prize!
spam,Congratulations! Receive your reward before midnight!
spam,URGENT! Winner notification: claim your prize!
spam,You won! Your cash prize is ready to claim!
ham,I'll meet you near the classroom.
ham,I'll call you once I get home.
ham,Can you explain this question to me?
ham,Please send me the homework when you can.
ham,Are you free this evening?
spam,FREE entry! You could win a huge cash prize!
spam,Claim your reward before the deadline!
ham,I'll send you the notes tonight.
spam,You were randomly selected for a cash prize!
spam,You have been chosen as today's lucky winner!
ham,Did you bring your calculator?
ham,Did the teacher give us homework?
ham,Can you send me yesterday's notes?
ham,What time should I come over?
ham,Can you call me when you're free?
spam,You have been selected for FREE money!
ham,I'll see you tomorrow morning.
ham,I'll call you after dinner.
spam,URGENT cash prize waiting for you!
